,Province,Crop,len
39,Antique,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Garlic', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",197
40,Capiz,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",179
41,Guimaras,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Papaya', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coffee', 'Sweet Potato']",110
42,Iloilo,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Garlic', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",197
43,Negros Occidental,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Garlic', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",197
44,Bohol,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Coconut', 'Sweet Potato']",152
45,Cebu,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",179
46,Negros Oriental,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Garlic', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Sweet Potato']",167
47,Siquijor,"['Rice', 'Sugarcane', 'Coconut']",32
48,Biliran,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Coconut', 'Coffee', 'Sweet Potato']",159
49,Eastern Samar,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Coconut', 'Coffee', 'Sweet Potato']",170
50,Leyte,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Coconut', 'Coffee', 'Sweet Potato']",170
51,Northern Samar,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Coconut', 'Sweet Potato']",139
52,Southern Leyte,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Coconut', 'Coffee', 'Sweet Potato']",170
53,Western Samar,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Coconut', 'Coffee', 'Sweet Potato']",170
54,Zamboanga del Norte,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",179
55,Zamboanga del Sur,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",179
56,Zamboanga Sibugay,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Sweet Potato']",149
57,Bukidnon,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",179
58,Camiguin,"['Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",163
59,Lanao del Norte,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",171
60,Misamis Occidental,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",179
61,Misamis Oriental,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",179
62,Compostela Valley,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Coconut', 'Coffee', 'Sweet Potato']",170
63,Davao del Norte,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Coconut', 'Coffee', 'Sweet Potato']",170
64,Davao del Sur,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",179
65,Davao Oriental,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Coconut', 'Coffee', 'Sweet Potato']",170
66,North Cotabato,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Garlic', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",197
67,Sarangani,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Coconut', 'Sweet Potato']",140
68,South Cotabato,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Garlic', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Sweet Potato']",167
69,Sultan Kudarat,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Garlic', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Sweet Potato']",167
70,Agusan del Norte,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Coconut', 'Coffee', 'Sweet Potato']",170
71,Agusan del Sur,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Coconut', 'Coffee', 'Sweet Potato']",170
72,Dinagat Islands,"['Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Coconut', 'Coffee', 'Sweet Potato']",162
73,Surigao del Norte,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Coconut', 'Sweet Potato']",150
74,Surigao del Sur,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Coconut', 'Coffee', 'Sweet Potato']",170
75,Basilan,"['Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Sweet Potato']",105
76,Lanao del Sur,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",179
77,Maguindanao,"['Rice', 'Corn', 'Ampalaya', 'Onion Bulb', 'Cabbage', 'Carrots', 'Cauliflower', 'Eggplant', 'Habitchuelas(beans)', 'Potato', 'Cacao', 'Sugarcane', 'Banana', 'Papaya', 'Pineapple', 'Asparagus', 'Broccoli', 'Cassava', 'Ginger', 'Greater yam/Ubi', 'Ladys finger/Okra', 'Lettuce', 'Mung bean/Mongo', 'Peanut', 'Pechay Native', 'Radish', 'Squash Fruit', 'Swamp cabbage/Kangkong', 'Taro/Gabi', 'Potato', 'Malabar spinach(Alugbati)', 'Mango', 'Coconut', 'Coffee', 'Sweet Potato']",171
